Events
100
Subject,Context,Name,Time (s),Description
HC032A,Left,Foot Strike,2.33,The instant the heel strikes the ground
HC032A,Left,Foot Strike,1.21,The instant the heel strikes the ground
HC032A,Left,Foot Strike,3.34,The instant the heel strikes the ground
HC032A,Left,Foot Off,2.96,The instant the toe leaves the ground
HC032A,Left,Foot Off,0.8,The instant the toe leaves the ground
HC032A,Left,Foot Off,1.89,The instant the toe leaves the ground
HC032A,Right,Foot Strike,1.76,The instant the heel strikes the ground
HC032A,Right,Foot Strike,0.69,The instant the heel strikes the ground
HC032A,Right,Foot Strike,2.83,The instant the heel strikes the ground
HC032A,Right,Foot Strike,3.88,The instant the heel strikes the ground
HC032A,Right,Foot Off,2.43,The instant the toe leaves the ground
HC032A,Right,Foot Off,1.32,The instant the toe leaves the ground
HC032A,Right,Foot Off,3.49,The instant the toe leaves the ground

Devices
1000
,,Imported Force Plate - Force,,,Imported Force Plate - Moment,,,Imported Force Plate - CoP,,,Imported Force Plate - Force,,,Imported Force Plate - Moment,,,Imported Force Plate - CoP,,,Imported Analog Device - Voltage,,,,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,L Rect,R Rect,L Hams,R Hams,L Gast,R Gast,L Tib Ant,R Tib Ant,L Spare,R Spare,L Tib Post,R Tib Post
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V,V,V
58,2,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00671387,0.00171661,-0.00656128,-0.00347137,0.0439453,-0.00190735,0.032196,-0.000572205,0.00106812,0.00133514,0.000724792,0.000839233
58,3,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00488281,-0.0012207,0.000228882,-0.00175476,0.146179,-0.000724792,0.0523376,-0.000724792,0.00133514,0.00183105,0.00118256,0.00267029
58,4,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,0.00408173,-0.00106812,-0.0107574,-0.00164032,0.193939,-0.00118256,0.0268555,-0.000801086,0.000801086,0.00152588,0.000801086,0.00102997
58,5,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,0.00118256,-0.000991821,-0.022583,-0.00175476,0.171318,-0.00118256,-0.0087738,-0.000839233,0.000305176,0.000495911,7.62939e-005,0.000267029
58,6,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00286102,-0.00114441,-0.0162506,-0.00209808,0.0615311,-0.000915527,-0.0505829,-0.00087738,0.00110626,0.00167847,0.000953674,0.00125885
58,7,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,0.00110626,-0.00106812,-0.0158691,-0.00110626,0.0295258,-0.00118256,-0.0634766,-0.000801086,0.000915527,0.00156403,0.000686646,0.000915527
58,8,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00720978,-0.000953674,-0.0127792,-0.00160217,0.0426483,-0.00038147,-0.063591,0.0012207,-0.000114441,0.00144958,-3.8147e-005,0.000572205
58,9,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00663757,-0.00102997,-0.0117111,-0.0018692,-0.0364685,-0.00110626,-0.0255203,3.8147e-005,0.000228882,0.000610352,0.000152588,0.000457764
59,0,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,0.000572205,-0.0031662,-0.00488281,-0.00179291,-0.025444,-0.00102997,-0.0139236,-0.000915527,0.00175476,0.00213623,0.00148773,0.00171661
59,1,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00293732,-0.00144958,-0.0138092,-0.000534058,0.0299454,-0.001297,-0.0214386,-0.000839233,0.00038147,0.00087738,0.000152588,0.000686646
59,2,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00514984,-0.0012207,-0.00724792,-0.00179291,-0.0397873,-0.00106812,-0.0311279,-0.000839233,3.8147e-005,0.00038147,-0.000152588,0.000267029
59,3,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,0,-0.00106812,0.00259399,-0.00141144,-0.235214,-0.00114441,-0.0111771,-0.000762939,0.000839233,0.000991821,0.000724792,0.000762939
59,4,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00896454,-0.00102997,0.00164032,-0.00167847,-0.211296,-0.00106812,0.0230408,0,0.00350952,0.00255585,0.00144958,0.00358582
59,5,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,0.00110626,-0.00110626,0.0212097,-0.0018692,-0.0948715,-0.00118256,0.0457382,-0.000801086,0.00114441,0.00152588,0.00106812,0.00133514
59,6,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00923157,-0.00114441,0.0545883,-0.00110626,-0.0302124,-0.000305176,0.0828171,-0.00213623,0.000648499,0.000953674,0.000572205,0.000762939
59,7,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00694275,-0.000190735,0.032959,-0.00179291,0.0267029,-0.00114441,0.0774384,-0.000915527,0.000839233,0.00118256,0.000572205,0.000801086
59,8,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00270844,-0.0012207,0.0182724,-0.00179291,0.179138,-0.00137329,0.0611115,-0.000762939,0.00183105,0.00205994,0.00156403,0.00164032
